Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00026982,0.0011604,-0.0054825,0,0,0,0.43373,0.00050607,2.8379E-08,-7.5911E-08,0.00013888,-1.9807E-07,0.00052158,0,0,0,0,0,0,package://dd/meshes/base_link.STL,1,0.423529411765,0.0392156862745,1,0,0,0,0,0,0,package://dd/meshes/base_link.STL,,quadrupedKNGmain assy.STEP-1/_st sac.STEP-1;quadrupedKNGmain assy.STEP-1/g_vde1-V2.STEP-1;quadrupedKNGmain assy.STEP-1/spt5435LV.STEP-1;quadrupedKNGmain assy.STEP-1/spt5435LV.STEP-2;quadrupedKNGmain assy.STEP-1/spt5435LV.STEP-3;quadrupedKNGmain assy.STEP-1/spt5435LV.STEP-4;quadrupedKNGmain assy.STEP-1/dc-dc SZBK07.STEP-1;quadrupedKNGmain assy.STEP-1/_n1-V2.STEP-1;quadrupedKNGmain assy.STEP-1/ARKA1-V2-SWITCH.STEP-1;quadrupedKNGmain assy.STEP-1/alt sac.STEP-1;quadrupedKNGmain assy.STEP-1/dc-dc SZBK07.STEP-2;quadrupedKNGmain assy.STEP-1/g_vde2-V2.STEP-1;quadrupedKNGmain assy.STEP-1/Orange Pi Zero.STEP-1;quadrupedKNGmain assy.STEP-1/JAMICO FAN 50X50X10.STEP-1;quadrupedKNGmain assy.STEP-1/3x18650.STEP-1;quadrupedKNGmain assy.STEP-1/3x18650.STEP-2;quadrupedKNGmain assy.STEP-1/battery indicator.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_hip,-0.01,-0.016533,0.01,0,0,0,0.038771,5.5867E-06,7.7162E-15,3.4527E-13,5.9876E-06,-4.4962E-15,2.1978E-06,0,0,0,0,0,0,package://dd/meshes/FR_hip.STL,0,0,0.8,1,0,0,0,0,0,0,package://dd/meshes/FR_hip.STL,,quadrupedKNGmain assy.STEP-1/FR-V2.STEP-1/spt5435LV.STEP-1;quadrupedKNGmain assy.STEP-1/FR-V2.STEP-1/spt5435LV.STEP-2,Origin_FR_hip_joint3,,FR_hip_joint,revolute,-0.068663,-0.08865,-0.0075892,-1.5708,-1.2604,3.1416,base_link,1,0,0,20,52.4,-0.80285,0.80285,,,0,0,,,,
FR_upper,0.0076438,-0.04431,1.8027E-06,0,0,0,0.034183,3.8769E-05,5.2555E-07,-4.8285E-10,1.7678E-06,-5.4044E-10,3.8447E-05,0,0,0,0,0,0,package://dd/meshes/FR_upper.STL,0,0.8,0,1,0,0,0,0,0,0,package://dd/meshes/FR_upper.STL,,quadrupedKNGmain assy.STEP-1/FR-V2.STEP-1/femur v2.STEP-1,Origin_FR_upper_joint3,,FR_upper_joint,revolute,0,0.00615,0,2.3688,0,1.5708,FR_hip,0,1,0,55,28.6,-1.0472,4.1888,,,0,0,,,,
FR_lower,-0.00047359,-0.042592,-0.042689,0,0,0,0.02613,3.4619E-05,2.5066E-07,2.5642E-07,2.1712E-05,-1.6E-05,1.3723E-05,0,0,0,0,0,0,package://dd/meshes/FR_lower.STL,1,0,0,1,0,0,0,0,0,0,package://dd/meshes/FR_lower.STL,,quadrupedKNGmain assy.STEP-1/FR-V2.STEP-1/mirror-tibia v4.STEP-1,Origin_FR_lower_joint3,,FR_lower_joint,revolute,0.008,-0.1,0,0.73678,0,0,FR_upper,0,1,0,55,28.6,-2.6965,-0.9163,,,0,0,,,,
FL_hip,0.01,-0.016533,0.01,0,0,0,0.038771,5.5867E-06,-7.5247E-15,3.4446E-13,5.9876E-06,4.3935E-15,2.1978E-06,0,0,0,0,0,0,package://dd/meshes/FL_hip.STL,0,0,0.8,1,0,0,0,0,0,0,package://dd/meshes/FL_hip.STL,,quadrupedKNGmain assy.STEP-1/FL-V2.STEP-1/spt5435LV.STEP-2;quadrupedKNGmain assy.STEP-1/FL-V2.STEP-1/spt5435LV.STEP-1,Origin_FL_hip_joint5,,FL_hip_joint,revolute,0.06883,-0.08865,-0.0070456,-1.5708,1.2833,-3.1416,base_link,1,0,0,20,52.4,-0.80285,0.80285,,,0,0,,,,
FL_upper,0.0076438,-0.04431,1.8026E-06,0,0,0,0.034183,3.8769E-05,5.2554E-07,-4.8282E-10,1.7678E-06,-5.4063E-10,3.8447E-05,0,0,0,0,0,0,package://dd/meshes/FL_upper.STL,0,0.8,0,1,0,0,0,0,0,0,package://dd/meshes/FL_upper.STL,,quadrupedKNGmain assy.STEP-1/FL-V2.STEP-1/femur v2.STEP-1,Origin_FL_upper_joint,,FL_upper_joint,revolute,0,0.00615,0,0.76303,0,1.5708,FL_hip,0,1,0,55,28.6,-1.0472,4.1888,,,0,0,,,,
FL_lower,-0.00047369,-0.042592,0.042689,0,0,0,0.02613,3.4619E-05,2.507E-07,-2.5641E-07,2.1712E-05,1.6E-05,1.3723E-05,0,0,0,0,0,0,package://dd/meshes/FL_lower.STL,1,0,0,1,0,0,0,0,0,0,package://dd/meshes/FL_lower.STL,,quadrupedKNGmain assy.STEP-1/FL-V2.STEP-1/tibia v4.STEP-1,Origin_FL_lower_joint3,,FL_lower_joint,revolute,0.00825,-0.1,0,-0.70402,0,0,FL_upper,0,1,0,55,28.6,-2.6965,-0.9163,,,0,0,,,,
RR_hip,-0.01,-0.016533,0.01,0,0,0,0.038771,5.5867E-06,7.4367E-15,3.4416E-13,5.9876E-06,-4.3455E-15,2.1978E-06,0,0,0,0,0,0,package://dd/meshes/RR_hip.STL,0,0,0.8,1,0,0,0,0,0,0,package://dd/meshes/RR_hip.STL,,quadrupedKNGmain assy.STEP-1/BR-V2.STEP-1/spt5435LV.STEP-1;quadrupedKNGmain assy.STEP-1/BR-V2.STEP-1/spt5435LV.STEP-2,Origin_RR_hip_joint3,,RR_hip_joint,revolute,-0.06889,0.10865,-0.0068413,-1.5708,-1.2919,3.1416,base_link,1,0,0,20,52.4,-0.80285,0.80285,,,0,0,,,,
RR_upper,0.0076438,-0.04431,1.8026E-06,0,0,0,0.034183,3.8769E-05,5.2555E-07,-4.8281E-10,1.7678E-06,-5.4052E-10,3.8447E-05,0,0,0,0,0,0,package://dd/meshes/RR_upper.STL,0,0.8,0,1,0,0,0,0,0,0,package://dd/meshes/RR_upper.STL,,quadrupedKNGmain assy.STEP-1/BR-V2.STEP-1/femur v2.STEP-1,Origin_RR_upper_joint3,,RR_upper_joint,revolute,0,0.00615,0,2.2445,0,1.5708,RR_hip,0,1,0,55,28.6,-1.0472,4.1888,,,0,0,,,,
RR_lower,-0.00047359,-0.042592,-0.042689,0,0,0,0.02613,3.4619E-05,2.5066E-07,2.5642E-07,2.1712E-05,-1.6E-05,1.3723E-05,0,0,0,0,0,0,package://dd/meshes/RR_lower.STL,1,0,0,1,0,0,0,0,0,0,package://dd/meshes/RR_lower.STL,,quadrupedKNGmain assy.STEP-1/BR-V2.STEP-1/mirror-tibia v4.STEP-1,Origin_RR_lower_joint3,,RR_lower_joint,revolute,0.008,-0.1,0,0.67743,0,0,RR_upper,0,1,0,55,28.6,-2.6965,-0.9163,,,0,0,,,,
RL_hip,0.01,-0.016533,0.01,0,0,0,0.038771,5.5867E-06,6.9713E-15,3.429E-13,5.9876E-06,-4.0869E-15,2.1978E-06,0,0,0,0,0,0,package://dd/meshes/RL_hip.STL,0,0,0.8,1,0,0,0,0,0,0,package://dd/meshes/RL_hip.STL,,quadrupedKNGmain assy.STEP-1/BL-V2.STEP-1/spt5435LV.STEP-1;quadrupedKNGmain assy.STEP-1/BL-V2.STEP-1/spt5435LV.STEP-2,Origin_RL_hip_joint3,,RL_hip_joint,revolute,0.064307,0.08865,-0.025392,-1.5708,-1.3278,0,base_link,1,0,0,20,52.4,-0.80285,0.80285,,,0,0,,,,
RL_upper,0.0076438,-0.04431,1.8027E-06,0,0,0,0.034183,3.8769E-05,5.2555E-07,-4.8287E-10,1.7678E-06,-5.4054E-10,3.8447E-05,0,0,0,0,0,0,package://dd/meshes/RL_upper.STL,0,0.8,0,1,0,0,0,0,0,0,package://dd/meshes/RL_upper.STL,,quadrupedKNGmain assy.STEP-1/BL-V2.STEP-1/femur v2.STEP-1,Origin_RL_upper_joint3,,RL_upper_joint,revolute,0.02,0.00615,0.02,-2.3816,0,1.5708,RL_hip,0,1,0,55,28.6,-1.0472,4.1888,,,0,0,,,,
RL_lower,-0.00047369,-0.042592,0.042689,0,0,0,0.02613,3.4619E-05,2.507E-07,-2.5641E-07,2.1712E-05,1.6E-05,1.3723E-05,0,0,0,0,0,0,package://dd/meshes/RL_lower.STL,1,0,0,1,0,0,0,0,0,0,package://dd/meshes/RL_lower.STL,,quadrupedKNGmain assy.STEP-1/BL-V2.STEP-1/tibia v4.STEP-1,Origin_RL_lower_joint3,,RL_lower_joint,revolute,0.00825,-0.1,0,-0.6587,0,0,RL_upper,0,1,0,55,28.6,-2.6965,-0.9163,,,0,0,,,,
